Nasa_id,size_in_kb
KSC-03pd2975,1644.84765625
KSC-02pp0490,1111.263671875
KSC-03pd2969,1822.69140625
KSC-03pd2964,2027.8583984375
KSC-03pd2963,1710.38671875
KSC-03pd2970,1863.8955078125
KSC-03pd2967,2416.83203125
KSC-03pd2965,1840.236328125
KSC-03pd2971,1520.8623046875
KSC-20180125-PH_KLS01_0126,18804.4052734375
KSC-03pd2976,1888.798828125
KSC-03pd2956,1261.4140625
KSC-03pd2957,1370.7841796875
KSC-03pd2960,1571.181640625
KSC-03pd2961,1713.89453125
KSC-03pd2966,1586.9111328125
KSC-03pd2958,1811.3369140625
KSC-03pd2974,1768.95703125
KSC-03pd2972,1124.21875
KSC-03pd2977,1940.109375
KSC-03pd2962,1396.69140625
KSC-03pd2959,1390.58984375
KSC-03pd2973,1399.4892578125
KSC01pd1874,1002.2880859375
KSC-00pp1841,1017.33203125
KSC00pp1841,1017.33203125
KSC-03pp0149,1160.0712890625
KSC-03pd0124,1166.7626953125
KSC-03pd0126,1132.966796875
KSC-03pd0110,2291.6533203125
KSC-03pd0108,1081.5126953125
KSC-03pd0050,1045.30859375
KSC00pp1840,1034.2294921875
KSC-00pp1853,1054.8349609375
KSC-02pd0942,1013.994140625
KSC-00pp1851,1007.400390625
KSC00pp1851,1007.400390625
KSC00pp1852,1051.5166015625
KSC-02pd1931,1025.3837890625
KSC-00pp1835,1027.50390625
KSC-00pp1854,1032.501953125
KSC00pp1835,1027.50390625
KSC-00pp1840,1034.2294921875
KSC00pp1853,1054.8349609375
KSC-02pd0941,1134.5810546875
KSC-02pd1916,1196.5439453125
KSC-02pd0945,1073.6083984375
KSC-00pp1852,1051.5166015625
KSC-02pd0944,1132.5087890625
KSC00pp1854,1032.501953125
KSC-03pd2952,1777.79296875
KSC-03pd2954,1752.1650390625
KSC-03pd2953,1655.970703125
KSC-03pd0107,1369.7109375
KSC-03pd0109,1456.716796875
KSC-03pd0047,1901.189453125
0300309,5035.3154296875
KSC-02pd1987,1043.64453125
KSC-02pd0754,1035.919921875
KSC-01pp1162,1188.5859375
KSC01pd1120,1534.60546875
KSC-02pd1938,1478.9921875
KSC-01pp1114,1267.349609375
KSC-01pp1118,1245.14453125
KSC-01pp1164,1282.482421875
KSC-02pd1988,1167.4375
KSC01pd1113,1377.2861328125
01pd1120,1041.5361328125
KSC-01pp1115,1219.91015625
KSC-01pp1168,1001.7255859375
KSC-02pd1925,1392.083984375
KSC01pd1116,1287.748046875
KSC-02pd1927,1093.302734375
KSC01pd1121,1312.373046875
KSC01pd1166,1362.185546875
KSC-02pd0052,1002.6689453125
KSC-01pp1571,1101.7109375
KSC01pd1117,1296.296875
KSC01pd1119,1408.6650390625
